iter	Logloss
0	0.6230985285
1	0.5643061324
2	0.5159979425
3	0.4677454678
4	0.4303352184
5	0.3962200549
6	0.3671829902
7	0.3433692729
8	0.322268932
9	0.3050365168
10	0.2901225051
11	0.2730729202
12	0.2593745441
13	0.249389395
14	0.2399989991
15	0.2301577411
16	0.2205484043
17	0.2131680505
18	0.2049886586
19	0.1994350484
20	0.1933785028
21	0.1890760299
22	0.1854396425
23	0.1799441843
24	0.1753125933
25	0.1723398257
26	0.169654275
27	0.1663990279
28	0.1647137892
29	0.1625331194
30	0.1607229158
31	0.1581196305
32	0.1566844354
33	0.15299365
34	0.1501369932
35	0.1482294206
36	0.1466421481
37	0.145132364
38	0.1433618042
39	0.1406908692
40	0.1384893032
41	0.1363172711
42	0.135301705
43	0.1338068034
44	0.1321697054
45	0.1310518976
46	0.1301156435
47	0.128873792
48	0.1276326527
49	0.1263997001
50	0.1253008578
51	0.1245341238
52	0.1234353105
53	0.1226044916
54	0.1219580532
55	0.1212671691
56	0.1204321365
57	0.1193209434
58	0.1184133605
59	0.1173908852
60	0.1166295732
61	0.1153048141
62	0.1149222115
63	0.1141563235
64	0.1129326141
65	0.1122049034
66	0.1115840074
67	0.1108106825
68	0.110231817
69	0.1093960483
70	0.1090262806
71	0.108590517
72	0.1076495856
73	0.1072071476
74	0.1066423263
75	0.1061773745
76	0.1057069364
77	0.1052887526
78	0.1042943199
79	0.1038666093
80	0.1032876304
81	0.1028577353
82	0.1025002818
83	0.1018691304
84	0.1013191658
85	0.1007749946
86	0.1003819948
87	0.09961487197
88	0.09861698107
89	0.09816287486
90	0.09744269591
91	0.09681069619
92	0.0964115318
93	0.09593197999
94	0.09536408205
95	0.0950113885
96	0.09457433858
97	0.09423626534
98	0.09378754317
99	0.09348078417
100	0.09283099651
101	0.09245301186
102	0.09180794971
103	0.09129973185
104	0.09074364405
105	0.09047423578
106	0.09016509576
107	0.08964224825
108	0.08894904934
109	0.08862513539
110	0.08787650781
111	0.08757175992
112	0.08720478975
113	0.08674858057
114	0.08645394333
115	0.08596064332
116	0.08535222164
117	0.08521031486
118	0.08478392786
119	0.08440090413
120	0.08383782128
121	0.08345109025
122	0.08320941911
123	0.08272186158
124	0.08252744432
125	0.0821975351
126	0.08185989549
127	0.08145386283
128	0.08113802991
129	0.08083550734
130	0.08036315024
131	0.08003045997
132	0.07976115043
133	0.07928150006
134	0.07900212521
135	0.07877420655
136	0.07829008749
137	0.07789469201
138	0.077618875
139	0.07725423094
140	0.07696809759
141	0.07673311238
142	0.07650094258
143	0.07625515032
144	0.07575882998
145	0.07558792605
146	0.07530578402
147	0.074975628
148	0.07467789741
149	0.07440519479
150	0.07388866505
151	0.07373680596
152	0.07344336707
153	0.07302473001
154	0.07256583403
155	0.07228663187
156	0.07199440574
157	0.07171847487
158	0.07146831465
159	0.07129788828
160	0.07109289532
161	0.07098438327
162	0.07056356061
163	0.07015523827
164	0.06970338004
165	0.06945199155
166	0.06929946259
167	0.06917691828
168	0.06902043468
169	0.06869139673
170	0.0685088447
171	0.06837960988
172	0.06817394288
173	0.06802196427
174	0.06782448546
175	0.06754182349
176	0.06726910613
177	0.06703242982
178	0.06671395929
179	0.06635123749
180	0.06618610832
181	0.06594563721
182	0.06572797579
183	0.06548439833
184	0.06511311941
185	0.06494517546
186	0.06458874701
187	0.06417947572
188	0.06402548731
189	0.06386658338
190	0.06360819032
191	0.06338682455
192	0.0632500192
193	0.06276023883
194	0.06238330563
195	0.06215695308
196	0.06185819389
197	0.06170264511
198	0.06148896232
199	0.06122525139
